epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
56,0.2762,0.2973,0.7054,0.8473,0.7401,0.8240,0.6759,0.5894,0.8214,0.1295,0.1760
57,0.2842,0.2994,0.7005,0.8478,0.7369,0.8336,0.6645,0.5853,0.8157,0.1381,0.1664
58,0.2695,0.3011,0.7090,0.8414,0.7403,0.7981,0.6946,0.5898,0.8283,0.1153,0.2019
59,0.2642,0.3028,0.7083,0.8419,0.7397,0.8010,0.6915,0.5893,0.8273,0.1173,0.1990
60,0.2637,0.3004,0.7143,0.8413,0.7440,0.7896,0.7078,0.5945,0.8340,0.1069,0.2104
61,0.2677,0.2975,0.7111,0.8469,0.7440,0.8136,0.6898,0.5943,0.8278,0.1199,0.1864
62,0.2656,0.2934,0.7070,0.8499,0.7422,0.8315,0.6742,0.5924,0.8215,0.1316,0.1685
63,0.2621,0.2977,0.6998,0.8496,0.7371,0.8416,0.6595,0.5858,0.8139,0.1423,0.1584
64,0.2646,0.2955,0.7146,0.8478,0.7471,0.8118,0.6963,0.5983,0.8309,0.1162,0.1882
65,0.2636,0.2923,0.7185,0.8470,0.7494,0.8031,0.7068,0.6015,0.8355,0.1090,0.1969
66,0.2574,0.2928,0.7171,0.8485,0.7489,0.8102,0.7006,0.6008,0.8333,0.1132,0.1898
67,0.2516,0.2921,0.7170,0.8502,0.7497,0.8164,0.6974,0.6017,0.8323,0.1160,0.1836
68,0.2545,0.2924,0.7183,0.8483,0.7497,0.8078,0.7040,0.6021,0.8346,0.1113,0.1922
69,0.2635,0.2897,0.7195,0.8497,0.7513,0.8111,0.7041,0.6039,0.8351,0.1116,0.1889
70,0.2569,0.3000,0.7213,0.8413,0.7490,0.7784,0.7270,0.6011,0.8414,0.0958,0.2216
71,0.2542,0.2935,0.7197,0.8470,0.7502,0.8012,0.7100,0.6027,0.8367,0.1072,0.1988
72,0.2532,0.2884,0.7178,0.8527,0.7513,0.8240,0.6948,0.6038,0.8318,0.1185,0.1760
73,0.2512,0.2817,0.7207,0.8564,0.7550,0.8328,0.6948,0.6085,0.8329,0.1199,0.1672
74,0.2549,0.2934,0.7239,0.8479,0.7539,0.7976,0.7197,0.6071,0.8407,0.1018,0.2024
75,0.2515,0.2862,0.7243,0.8523,0.7560,0.8128,0.7112,0.6098,0.8387,0.1082,0.1872
76,0.2520,0.2829,0.7108,0.8596,0.7491,0.8583,0.6688,0.6007,0.8209,0.1392,0.1417
77,0.2466,0.2872,0.7219,0.8531,0.7544,0.8184,0.7046,0.6077,0.8361,0.1123,0.1816
78,0.2481,0.2940,0.7234,0.8471,0.7528,0.7953,0.7198,0.6061,0.8407,0.1012,0.2047
79,0.2515,0.2831,0.7161,0.8582,0.7524,0.8456,0.6819,0.6051,0.8272,0.1293,0.1544
80,0.2395,0.2881,0.7272,0.8505,0.7575,0.8021,0.7225,0.6118,0.8426,0.1010,0.1979
81,0.2503,0.2981,0.7289,0.8421,0.7552,0.7696,0.7473,0.6090,0.8488,0.0853,0.2304
82,0.2496,0.2805,0.7216,0.8587,0.7565,0.8388,0.6934,0.6104,0.8328,0.1215,0.1612
83,0.2458,0.2852,0.7220,0.8553,0.7554,0.8266,0.7000,0.6091,0.8349,0.1160,0.1734
84,0.2556,0.2890,0.7287,0.8503,0.7584,0.7989,0.7271,0.6130,0.8443,0.0983,0.2011
85,0.2435,0.2846,0.7285,0.8533,0.7595,0.8098,0.7203,0.6143,0.8426,0.1031,0.1902
86,0.2521,0.2841,0.7216,0.8572,0.7560,0.8337,0.6960,0.6096,0.8335,0.1194,0.1663
